city_name,city_latitude,city_longitude
Avery Hill, 38.553110, -90.027050
Averyville, 40.716700, -89.562320
Aviston, 38.606720, -89.607590
Avon, 40.664210, -90.434850
Avondale, 41.938920, -87.711170
Ayers, 38.963660, -89.452030
Ayers, 42.053910, -90.115680
Babcock, 41.529480, -90.395960
Babylon, 40.590870, -90.349290
Bachs Addition, 42.137500, -87.841670
Back of the Yards, 41.807530, -87.666160
Bader, 40.173100, -90.368740
Baileyville, 42.197250, -89.593450
Bainbridge, 37.733940, -88.993130
Baker, 41.555590, -88.811190
Bakers Acres, 41.947530, -88.346740
Bakers Crossroads, 37.628110, -89.114800
Bakerville, 40.063100, -89.196760
Bakerville, 38.258380, -88.897570
Balcom, 37.413110, -89.206190
Bald Bluff, 41.018650, -90.853750
Bald Mound, 41.846140, -88.406470
Baldwin, 42.138080, -88.058690
Baldwin, 38.183110, -89.842600
Baldwin Beach, 40.345880, -90.032060
Baldwin Heights, 38.449770, -89.144790
Ballou, 41.277530, -88.102000
Bancroft Corners, 42.421130, -87.862020
Bando, 39.827550, -89.709550
Banklick, 37.827270, -88.702280
Banner, 40.516980, -89.908450
Bannister, 38.618940, -88.859780
Bannockburn, 42.193360, -87.866460
Bar Island, 40.003100, -90.482350
Barbers Corners, 41.710860, -88.068400
Barclay, 39.874770, -89.517880
Bardolph, 40.495040, -90.564570
Bardwell Island, 41.357810, -88.232010
Barkis Island, 41.291140, -91.082650
Barlow Park, 40.309480, -87.623080
Barnes, 40.502810, -88.901740
Barnett, 38.854490, -89.884540
Barnett, 39.264490, -89.697310
Barney Island, 42.443630, -88.164250
Barnhill, 38.284490, -88.364210
Barns Island, 40.110320, -91.487650
Barr, 39.961990, -89.697050
Barr, 39.404770, -90.104280
Barreville, 42.275580, -88.262590
Barrington, 42.153910, -88.136190
Barrington Center, 42.110580, -88.194240
Barrington Hills, 42.168640, -88.257580
Barrington Hills, 42.144750, -88.155630
Barrington Woods, 42.152250, -88.055910
Barrow, 39.506160, -90.401510
Barry, 39.694210, -91.039020
Barry Island, 41.323370, -88.555630
Barstow, 41.518370, -90.357070
Bartelso, 38.536440, -89.466470
Bartlett, 41.995030, -88.185630
Bartonville, 40.650320, -89.652050
Basco, 40.327820, -91.200140
Basham Carriage Manor Estates, 41.631390, -88.022780
Bass Island, 41.326970, -91.069320
Batavia, 41.850030, -88.312570
Batavia Junction, 41.795310, -88.240630
Batchtown, 39.033100, -90.657620
Bates, 39.724220, -89.849550
Batestown, 40.120040, -87.696410
Bath, 40.193380, -90.140950
Baum, 39.327550, -90.315670
Bay City, 37.248940, -88.496710
Bay Island, 39.547270, -91.101530
Bay View Garden, 40.808930, -89.520650
Bayberry Ridge, 41.726390, -88.038330
Bayle City, 39.113930, -89.166190
Baylestown, 39.091440, -89.879540
Baylis, 39.728380, -90.908190
Beach Park, 42.422240, -87.857300
Beach Station, 42.421130, -87.849240
Beacon Hill, 42.201690, -88.050910
Beaconridge, 41.696940, -88.060280
Beagles Island, 38.132830, -90.244010
Beamington, 39.670880, -89.591760
Beardstown, 40.017550, -90.424290
Bearsdale, 39.896980, -89.011190
Beason, 40.143650, -89.193420
Beaty, 40.275040, -90.245960
Beaucoup, 38.349770, -89.292020
Beaver Creek, 42.185580, -88.039520
Beaver Creek, 38.767550, -89.393690
Beaver Island, 37.962830, -89.928160
Beaver Island, 40.719480, -91.109870
Beaver Island, 41.467530, -90.593470
Beaverton Crossroads, 42.407800, -88.821770
Beaverville, 40.954480, -87.654480
Beckemeyer, 38.605600, -89.435920
Becks Park, 41.771140, -87.638940
Bedford, 39.529210, -90.584290
Bedford Park, 41.762810, -87.800060
Bee Creek, 39.400330, -90.635960
Beebe Island, 39.819210, -91.380980
Beecher, 41.340590, -87.621430
Beecher City, 39.188100, -88.786730
Beechville, 38.971440, -90.647620
Beeler Terrace, 40.129760, -87.625300
Beiler Subdivision, 42.229190, -88.968160
Bel-Bo Mobile Home Park, 42.253610, -88.860560
Belden, 42.474190, -88.347320
Belgium, 40.061430, -87.638080
Belgium Row, 40.133090, -87.753640
Belgravia Terrace, 41.916700, -87.639500
Belknap, 37.325050, -88.938960
Bell, 40.191990, -89.387600
Bell Island, 41.223640, -91.089590
Bell Ridge, 39.507810, -87.764750
Bellair, 39.141980, -87.945310
Bellbrook, 41.583890, -87.926670
Belle Prairie City, 38.222550, -88.555330
Belle Rive, 38.232830, -88.740620
Belleview, 39.350880, -90.781240
Belleville, 38.520050, -89.983990
Bellevue, 40.684480, -89.680100
Bellflower, 40.340030, -88.527010
Bellmont, 38.384490, -87.911420
Bells Island, 41.328920, -88.736190
Belltown, 39.382550, -90.407900
Bellwood, 41.881420, -87.883120
Belmont, 41.792810, -88.037840
Belmont Cragin, 41.931700, -87.768670
Belmont Park, 41.933920, -87.752840
Belmont Village, 38.942270, -90.184550
Beltrees, 38.959490, -90.325670
Belvidere, 42.263910, -88.844270
Bement, 39.921980, -88.572010
Benld, 39.092820, -89.803980
Bennett, 40.064200, -87.806140
Bennett Landing, 37.533940, -89.498430
Bennington, 38.524220, -88.131430
Bensenville, 41.955030, -87.940070
Benson, 40.850590, -89.122300
Bentley, 40.344490, -91.111810
Benton, 37.996720, -88.920070
Benton Island, 40.977260, -90.949030
Benton Park, 38.059770, -88.914790
Bentown, 40.471980, -88.806460
Benville, 39.864210, -90.864850
Berdan, 39.365050, -90.395400
Berger, 41.623650, -87.591990
Berkeley, 41.888920, -87.903400
Berkeley Cottages, 41.818640, -87.600610
Berlin, 39.758940, -89.903160
Bernice, 41.579200, -87.548100
Berry, 39.713100, -89.470920
Berryville, 37.456990, -89.287860
Berryville, 38.599490, -87.928640
Berwick, 40.799210, -90.538470
Berwyn, 41.850590, -87.793670
Bessie, 37.997270, -88.812560
Bethalto, 38.909210, -90.040660
Bethany, 39.645590, -88.738130
Bethel, 39.776440, -90.424850
Bethel, 39.897260, -87.544460
Beulah Heights, 37.808660, -88.454210
Beverly, 41.718090, -87.673660
Beverly, 39.793380, -90.990970
Beverly Hills, 41.711980, -87.671990
Beverly Manor, 40.695040, -89.467590
Bible Grove, 38.871990, -88.446160
Biddleborn, 38.297830, -89.684820
Big Bay, 37.316720, -88.721720
Big Blue Island, 39.664210, -90.627350
Big Dasher Island, 40.900040, -91.004870
Big Foot Prairie, 42.495020, -88.598990
Big Island, 41.461140, -90.603750
Big Island (historical), 39.590320, -90.560400
Big Muddy Island, 37.576720, -89.494260
Big Oak Mobile Home Park, 39.546900, -89.283000
Big Rock, 41.763920, -88.547020
Big Run Acres, 41.646980, -88.025340
Biggs, 40.241430, -89.904280
Biggsville, 40.853650, -90.864860
Bill Butler Mobile Home Park, 37.718890, -88.934170
Billett, 38.664490, -87.652250
Bingham, 39.114210, -89.213410
Binghampton, 41.716700, -89.303980
Bingman Station, 38.083100, -88.244760
Binney, 38.990050, -89.727310
Binnie Hills, 42.121140, -88.363690
Binnie Lakes, 42.116410, -88.359530
Birch Island, 39.131440, -90.681230
Birch Pond, 42.120000, -87.848060
Birchwood, 42.016700, -87.665340
Birds, 41.475030, -88.197280
Birds, 38.836990, -87.667800
Birkbeck, 40.176980, -88.868410
Birkner, 38.562270, -90.029270
Birmingham, 40.264210, -90.820970
Bishop, 40.345870, -89.874830
Bishop Hill, 41.201700, -90.119010
Bishops Ridge, 42.179190, -88.068410
Bismarck, 40.263930, -87.608080
Bissell, 39.846160, -89.581770
Bixby, 38.493110, -90.223720
Black, 38.467830, -88.102820
Blackberry Acres, 41.842810, -88.486190
Blackberry Knoll, 41.705100, -88.387700
Blackberry Woods, 41.809470, -88.462580
Blackcrest, 42.196410, -89.049550
Blackhawk, 42.187520, -90.224020
Blackhawk Estates, 41.562500, -88.003060
Blackhawk Island, 42.207800, -89.095100
Blackhawk Island Subdivision, 42.205860, -89.106770
Blackhawk Island Subdivision Number 2, 42.207800, -89.094830
Blackland, 39.761430, -89.103970
Blacks, 40.070330, -90.998190
Blackstone, 41.084480, -88.690900
Blaine, 42.446960, -88.803160
Blair, 38.044770, -89.742050
Blair, 41.103370, -88.308670
